,rec_num,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,state,city_development_matrics
87,88,28751,city_103,0.92,,No relevent experience,Full time course,High School,,4,,,3,75,0.0,CA,9.200000000000001
88,89,29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0.0,CA,6.9799999999999995
89,90,32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,0.0,CA,9.200000000000001
90,91,19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,0.0,CA,9.13
91,92,29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,never,182,0.0,CA,9.1
92,93,16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,CA,9.200000000000001
93,94,10497,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0,CA,6.82
94,95,18099,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,CA,9.200000000000001
95,96,12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,CA,8.02
96,97,7364,city_160,0.92,,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142,0.0,CA,9.200000000000001
97,98,11184,city_74,0.579,,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,CA,5.789999999999999
98,99,7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,CA,8.02
99,100,8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0,CA,5.5
100,101,6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,CA,5.5
101,102,14672,city_173,0.878,,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,150,0.0,CA,8.78
102,103,18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,CA,9.200000000000001
103,104,24493,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,0.0,CA,9.200000000000001
104,105,1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,CA,9.1
105,106,28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,CA,9.389999999999999
106,107,8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,CA,8.97
107,108,10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,CA,6.24
108,109,25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,CA,9.1
109,110,5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0.0,CA,7.54
110,111,4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,CA,8.55
111,112,11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,CA,9.26
112,113,27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,1.0,CA,9.49
113,114,8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0.0,CA,6.24
114,115,16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0.0,CA,9.26
115,116,20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,CA,9.25
116,117,32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,CA,6.24
117,118,21199,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,CA,6.9799999999999995
118,119,18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,CA,8.959999999999999
119,120,14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,CA,9.200000000000001
120,121,7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,CA,6.24
121,122,13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,CA,9.1
122,123,10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,CA,8.78
123,124,16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,CA,9.200000000000001
124,125,32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,0.0,CA,8.36
125,126,13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0.0,CA,6.93
126,127,15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,CA,8.55
127,128,28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0,CA,9.200000000000001
128,129,23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0,CA,9.200000000000001
129,130,16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0,CA,9.200000000000001
130,131,3921,city_36,0.893,,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0,CA,8.93
131,132,24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0,CA,9.26
132,133,1924,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0,CA,8.040000000000001
133,134,32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,290,0.0,CA,6.659999999999999
134,135,1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,145,0.0,CA,8.040000000000001
135,136,23947,city_103,0.92,,No relevent experience,no_enrollment,Phd,STEM,,,,,70,0.0,CA,9.200000000000001
136,137,3116,city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,,1,24,0.0,CA,6.24
137,138,24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0,CA,9.200000000000001
138,139,30488,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,0.0,CA,5.5
139,140,1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0,CA,9.200000000000001
140,141,22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,,,4,21,1.0,CA,6.9799999999999995
141,142,13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0,CA,6.24
142,143,24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0,CA,9.200000000000001
143,144,20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,156,0.0,CA,8.66
144,145,24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0,CA,9.200000000000001
145,146,7777,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,120,0.0,CA,9.26
146,147,22718,city_157,0.769,,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47,0.0,CA,7.69
147,148,1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,1.0,CA,7.54
148,149,3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0.0,CA,8.55
149,150,4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,52,0.0,CA,9.200000000000001
150,151,18998,city_114,0.926,,Has relevent experience,no_enrollment,High School,,9,10/49,,4,39,0.0,CA,9.26
151,152,2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,,4,,,1,112,1.0,CA,9.200000000000001
152,153,31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0,CA,9.200000000000001
153,154,8241,city_16,0.91,,Has relevent experience,no_enrollment,,,11,,,1,4,0.0,CA,9.1
154,155,12154,city_16,0.91,,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0,CA,9.1
155,156,23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0,CA,6.24
156,157,19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,72,0.0,CA,9.1
157,158,28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0,CA,9.25
158,159,4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,0.0,CA,9.26
159,160,7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0,CA,9.200000000000001
160,161,16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0,CA,9.200000000000001
161,162,13333,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,326,0.0,CA,9.389999999999999
162,163,26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0,CA,9.200000000000001
163,164,12381,city_102,0.804,,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0,CA,8.040000000000001
164,165,4064,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,198,1.0,CA,9.200000000000001
165,166,32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0,CA,9.200000000000001
166,167,3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0,CA,6.9799999999999995
167,168,30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0,CA,9.200000000000001
168,169,7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0,CA,7.54
169,170,29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0,CA,9.200000000000001
170,171,31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0,CA,8.55
171,172,12384,city_70,0.698,,Has relevent experience,,,,>20,,,>4,33,0.0,CA,6.9799999999999995
172,173,11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0,CA,6.9799999999999995
173,174,31033,city_16,0.91,,No relevent experience,Full time course,High School,,3,,,1,8,0.0,CA,9.1
174,175,14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,22,0.0,CA,8.78
175,176,3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0,CA,9.200000000000001
176,177,3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0,CA,9.49
177,178,23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22,0.0,CA,9.200000000000001
178,179,29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0,CA,9.200000000000001
179,180,12297,city_175,0.7759999999999999,,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11,0.0,CA,7.759999999999999
180,181,27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0,CA,6.9799999999999995
181,182,3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0,CA,9.200000000000001
182,183,29226,city_104,0.924,Male,No relevent experience,Full time course,High School,,6,,,never,15,0.0,CA,9.24
183,184,5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0.0,CA,9.389999999999999
184,185,2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0,CA,9.26
185,186,32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0,CA,8.97
186,187,31841,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,1.0,CA,6.24
187,188,907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0,CA,9.200000000000001
188,189,29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,1.0,CA,7.890000000000001
189,190,10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0,CA,6.9799999999999995
190,191,26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0,CA,9.200000000000001
191,192,26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,,never,8,0.0,CA,6.24
192,193,4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,,3,17,1.0,CA,9.1
193,194,7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,,1,,,1,33,0.0,CA,9.23
194,195,706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0,CA,9.1
195,196,9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0.0,CA,9.200000000000001
196,197,32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0,CA,9.200000000000001
197,198,27104,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,,>20,,,never,87,0.0,CA,8.93
198,199,7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,84,0.0,CA,8.02
199,200,31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0.0,CA,8.84
200,201,22899,city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0,CA,8.870000000000001
